customer_unique_key,customer_salary,customer_age_year,customer_pincode,customer_city
2438183431,48529,30,560048,Bengaluru
2868169081,70559,35,411002,Pune
3192753789,66351,35,411057,Pune
3206797824,36763,27,560103,Bengaluru
2863556969,72073,34,560025,Bengaluru
2922445764,28747,32,201301,Delhi
2708762081,56264,37,560071,Bengaluru
2942679938,27295,27,110037,Delhi
3481781243,38534,33,560103,Bengaluru
2694334573,23750,28,302029,Jaipur
3087529837,29902,32,400079,Mangalore
3092673839,83061,38,122002,Delhi
2810364118,57550,-10,560016,Bengaluru
2999511764,106214,36,201310,Delhi
2700892291,118333,33,600039,Chennai
2376438087,37892,27,600058,Chennai
3152767742,44923,30,411041,Pune
2942003223,36896,31,600007,Chennai
3041287801,46256,35,560001,Bengaluru
2460579903,29195,28,500072,Hyderabad
3331650853,25921,24,400703,Mumbai
2778933267,61861,35,500003,Hyderabad
2853821869,176869,32,400054,Mumbai
2813012866,29419,27,560103,Bengaluru
2628478727,88171,31,122003,Delhi
2458937039,76246,38,600058,Chennai
3137225265,29800,27,160062,Chandigarh
3215946936,28308,33,560052,Bengaluru
2786418621,54740,31,400093,Mumbai
2792165162,24382,30,700054,Kolkata
3197034746,123811,40,110001,Delhi
3209468995,38577,32,122002,Delhi
2693063515,34714,33,201301,Delhi
2596531652,51155,34,560029,Bengaluru
2656040433,86320,29,411028,Pune
3032370725,23613,23,560038,Bengaluru
2772935662,35685,39,505001,Karimnagar
2355428369,36502,26,560091,Bengaluru
3193106003,23793,43,411016,Pune
2795881790,33225,25,110015,Delhi
3147306018,27287,24,500037,Hyderabad
2426384409,27880,27,110044,Patna
2520557861,165608,40,500081,Hyderabad
2571397172,46257,27,600119,Chennai
2451088743,51897,38,400020,Mumbai
2625742425,34589,28,110062,Delhi
2461011603,42178,32,400705,Mumbai
3107467450,122327,37,411014,Pune
2496267363,39358,25,201301,Delhi
2435179634,116205,40,400607,Mumbai
2961991253,35184,33,201301,Delhi
2348408657,54452,34,110027,Delhi
2466287513,30178,29,248001,Dehradun
3217837462,34861,-10,603103,Chennai
2437037447,49540,33,110092,Delhi
2676246104,94326,25,201303,Delhi
2557203394,39673,32,500082,Hyderabad
2959162374,39785,25,560045,Bengaluru
2512014599,60208,33,575005,Mangalore
2723769466,60982,23,560038,Bengaluru
2774275923,28855,29,682036,Ernakulam
2869908545,38747,29,500089,Hyderabad
2683745684,54817,34,530048,Visakhapatnam
3187082865,33712,25,201301,Delhi
2973852027,27983,52,641009,Coimbatore
2785212635,24432,32,500013,Hyderabad
2494934078,64561,36,500081,Hyderabad
2883170515,35556,47,411057,Pune
2918891555,67030,39,400072,Mumbai
2366797614,23518,31,411006,Pune
2402590292,62576,41,560066,Bengaluru
2421745781,254792,41,411030,Pune
2933789336,24638,29,411014,Pune
2609939636,25247,37,560012,Bengaluru
2583553897,47808,48,110037,Delhi
3191034160,80271,45,600090,Chennai
2812172400,43061,35,530020,Visakhapatnam
2675619666,60277,32,500004,Hyderabad
2831724395,32224,30,122003,Delhi
2554898604,30038,31,122002,Delhi
2593518236,87041,32,122001,Delhi
2990773035,24478,29,500032,Hyderabad
3010374121,36769,34,700091,Kolkata
2560102267,59212,43,530003,Visakhapatnam
2751013078,28232,32,160059,Chandigarh
3099859014,31691,30,122003,Delhi
2646905032,24133,27,560037,Bengaluru
2875659117,40036,29,411057,Pune
2614292539,29787,33,560099,Bengaluru
2779151891,99377,31,560045,Bengaluru
2714149349,224951,39,600053,Chennai
2745802878,29270,25,380015,Ahmedabad
3046929595,42430,33,560076,Bengaluru
2831377903,98632,-10,122001,Delhi
3413696984,59184,37,560099,Bengaluru
2606888379,47021,31,380001,Ahmedabad
3226510842,32712,31,500045,Hyderabad
2362720532,23335,33,700016,Kolkata
3160911623,49947,33,500045,Hyderabad
2480866412,57202,44,610004,Chennai
2808410969,45860,50,560076,Bengaluru
2468527467,118352,42,500081,Hyderabad
2427784820,31109,28,302022,Jaipur
3229979823,67769,35,641035,Coimbatore
2543311285,97023,36,500032,Hyderabad
3173003533,27931,29,530009,Visakhapatnam
3086317634,29247,28,500081,Hyderabad
3138696112,35397,29,500034,Hyderabad
3179006121,335727,41,560078,Bengaluru
2463249945,83298,40,560029,Bengaluru
2354984189,29192,35,560010,Bengaluru
2605820782,82504,27,600097,Chennai
2921546345,62701,30,500034,Hyderabad
3191573055,41312,33,110087,Delhi
2766169671,25070,22,122001,Delhi
2605558899,34538,26,600095,Chennai
2996176483,36080,37,695014,Trivandrum South
3187626508,68365,30,560008,Bengaluru
2795647567,136238,39,560103,Bengaluru
2685487838,97109,31,400079,Mumbai
2378053383,33674,23,160036,Chandigarh
2796127635,28948,27,452005,Gwalior
2393908595,48977,30,560086,Bengaluru
2684433915,27539,-10,500037,Hyderabad
3165501445,55297,36,201301,Delhi
3200373807,34411,35,560001,Bengaluru
2629680690,56694,30,400076,Bengaluru
3192613142,44846,29,110001,Delhi
2982892694,26368,34,110020,Delhi
2675673765,64423,34,500031,Hyderabad
3175713443,49137,37,384001,Gandhinagar
2773204345,56432,29,500088,Hyderabad
2838800439,122124,35,302002,Jaipur
3026370626,45398,38,411005,Pune
3021840243,33716,30,110036,Delhi
2552252879,30704,25,560066,Bengaluru
2797848783,47265,37,560092,Bengaluru
2700097852,53016,45,600092,Chennai
3065641765,92807,33,122003,Delhi
2383940613,56818,33,533004,Hyderabad
3091673055,78910,46,517501,Tirupati
3141158611,30524,24,400104,Mumbai
2896536114,34157,24,110015,Delhi
2582261252,37404,31,500047,Hyderabad
2732362351,27238,23,560017,Bengaluru
3184002910,29328,48,380060,Ahmedabad
3225829874,50468,26,560029,Bengaluru
2712683627,43050,28,560056,Bengaluru
2432273642,96694,35,600089,Chennai
3047869038,27644,27,140301,Ludhiana City
3076888125,29460,39,226010,Lucknow
2998865497,98126,44,400070,Mumbai
3053849690,44203,34,110005,Delhi
2467076604,167184,41,400064,Mumbai
2585043520,58320,41,530013,Visakhapatnam
2533842812,51154,25,201301,Delhi
2710553960,30149,38,531021,Visakhapatnam
2982593942,29570,26,520012,Vijayawada
3027630574,59477,36,560047,Bengaluru
2709231765,28568,36,636005,Salem West
2899649109,31697,23,560045,Bengaluru
3143995509,45750,44,110036,Delhi
2384196390,63564,30,132001,Karnal
2386203525,26879,25,560103,Bengaluru
2836606794,30148,34,422006,Nasik
2332060621,43973,29,400070,Mumbai
2872684494,187502,36,560085,Bengaluru
2990693302,36668,31,121004,Delhi
2908825389,42933,30,500080,Hyderabad
2992974126,93975,46,560052,Bengaluru
3028745122,109058,40,411057,Pune
2383103605,54467,34,122012,Delhi
3095568199,33595,32,400068,Mumbai
3451689749,88353,38,600006,Chennai
2398077252,63279,43,560066,Bengaluru
2699779817,76027,48,110001,Delhi
2821297305,55475,33,560087,Bengaluru
3115331121,79306,44,600124,Chennai
2909886788,33757,31,122022,Delhi
2574846905,67512,30,561201,Bengaluru
3513342149,25788,28,400020,Mumbai
3099420495,91764,40,110016,Delhi
2467679733,79541,33,560037,Bengaluru
3318787169,55697,28,500032,Hyderabad
2757450078,44494,31,201301,Delhi
3181542005,53635,36,560010,Bengaluru
3168885697,28761,26,560037,Bengaluru
2662196724,27716,23,390007,Vadodara
2512714734,55353,45,400064,Mumbai
2355691220,94904,48,562107,Bengaluru
2354578279,32349,37,510501,Hyderabad
3117542153,35721,26,560022,Bengaluru
3183273055,126742,45,500081,Hyderabad
2728141808,240721,45,560071,Bengaluru
2556106690,24482,33,411034,Pune
3462851065,47320,31,201301,Delhi
2865617908,87670,43,201005,Delhi
2515292588,63658,33,380052,Ahmedabad
3267855094,103112,31,500039,Hyderabad
3182041377,31312,27,400092,Mumbai
3176636759,41974,35,560068,Bengaluru
2683540497,29070,31,122002,Delhi
2702799481,37390,27,400025,Mumbai
2996549855,33668,28,500072,Hyderabad
2931821703,44509,35,422007,Nasik
2970233557,38903,29,400614,Mumbai
2658284506,169624,44,201301,Delhi
2933733842,35571,31,560099,Bengaluru
2960201780,40643,25,122022,Delhi
2896758251,91818,36,560037,Hyderabad
2603839400,100329,33,500032,Hyderabad
2736279921,24697,44,700046,Kolkata
3014706855,142794,38,600018,Chennai
3230339285,42261,37,411062,Pune
2520592337,179630,33,560087,Bengaluru
2702503295,32440,33,500032,Hyderabad
2877128055,38692,25,502032,Hyderabad
2825705683,33148,27,500032,Hyderabad
3029009663,41213,27,560048,Bengaluru
2801104709,39577,26,110096,Delhi
3141611636,44985,28,560037,Bengaluru
3185105102,29415,35,500016,Hyderabad
2823935066,139164,22,400705,Mumbai
2478295199,91677,41,500081,Hyderabad
2595125850,21425,36,695011,Trivandrum North
3177237638,27435,41,560001,Bengaluru
2803024223,147995,31,600088,Chennai
2391989181,45879,39,400708,Mumbai
2549315541,359372,28,560102,Bengaluru
2437134872,81679,27,500003,Hyderabad
3233856850,40741,28,122001,Delhi
2923325190,24717,42,560078,Bengaluru
2895190465,54930,28,201301,Delhi
2419858304,33755,29,123501,Gurgaon
2820992180,129634,38,226010,Lucknow
3233371582,93658,46,600045,Chennai
2856784538,29325,30,530016,Visakhapatnam
2983921116,53900,27,226017,Lucknow
2706459629,49398,30,600096,Chennai
2657242199,66276,36,110004,Delhi
2741123898,148950,36,400708,Mumbai
2911687123,73454,40,248001,Dehradun
2588844738,28843,24,302021,Jaipur
2716684593,42924,31,141008,Ludhiana City
2934443456,77620,34,560003,Bengaluru
3227944090,123358,38,560070,Bengaluru
3037837149,56411,30,560016,Bengaluru
2691395615,27871,33,800020,Patna
2463476839,21062,28,160022,Chandigarh
3190781101,26960,38,560105,Bengaluru
2914944200,60749,27,302021,Kota
2861733434,51543,27,382220,Ahmedabad
2953021609,22299,28,324005,Kota
3116284274,27955,26,641603,Coimbatore
2440091929,23319,26,500032,Hyderabad South East
3217003918,34322,35,136027,Sonepat
3116214797,28502,27,411013,Pune
2516729369,24207,31,421302,Mumbai
2946794382,24171,31,500033,Hyderabad
2761363559,28205,37,400701,Mumbai
2401472580,29587,32,110034,Delhi
2692701600,43380,45,560102,Bengaluru
2699987942,28415,38,500038,Hyderabad
2814530639,79265,39,110012,Delhi
2772212090,103543,41,400028,Mumbai
2908637154,49486,40,400611,Mumbai
3086738546,31478,29,201301,Delhi
2373753524,43064,31,110078,Delhi
3196996365,41600,35,562123,Bengaluru
2455412528,29556,31,201301,Delhi
2562646479,92482,42,500064,Hyderabad
2380835947,35875,43,364001,Bhavnagar
3185448595,46762,36,110019,Delhi
2648991148,36956,41,700110,Kolkata
2962352781,96848,33,122001,Delhi
2955323696,35870,29,501501,Hyderabad
2565468276,31566,30,500032,Hyderabad
2726073713,41048,37,600042,Chennai
3055132945,24623,34,560091,Bengaluru
3184866474,24158,52,500055,Hyderabad
2916388063,37122,42,560078,Bengaluru
3344777635,45994,41,502319,Hyderabad
2720756971,59441,31,540045,Bengaluru
3129651911,24333,30,560103,Bengaluru
3126075375,55298,30,380015,Ahmedabad
3005005316,54976,39,322701,Jaipur
2787669212,110078,38,110001,Delhi
3027728374,29439,27,700156,Kolkata
2930546745,95482,30,560095,Bengaluru
2633469008,82323,34,201301,Delhi
3092104576,59050,30,122016,Delhi
2393731989,60632,33,122001,Delhi
3081630633,31522,31,500081,Hyderabad
2877532338,35666,29,400025,Mumbai
3282093330,39365,29,560069,Bengaluru
2434646602,36504,28,160062,Chandigarh
2892974983,113348,31,560071,Bengaluru
3112104665,76227,37,520010,Vijayawada
2828409012,78844,38,600092,Chennai
2978652266,46180,38,500081,Hyderabad
3216353408,36714,32,110019,Delhi
2881981070,139596,40,560048,Bengaluru
2801311398,45257,28,201301,Delhi
2805588733,34527,26,560045,Bengaluru
3110124716,78765,31,411009,Pune
2687146820,64444,26,201310,Delhi
2860401204,33672,29,122010,Delhi
3111056367,75995,40,110008,Delhi
2882147650,44375,32,110089,Delhi
3090309419,31104,38,500049,Hyderabad
2953414178,50365,37,500078,Hyderabad
3217479800,29458,28,560105,Bengaluru
2589831700,29529,29,500018,Hyderabad
2667891286,37234,31,452001,Indore
2995633213,36833,28,122001,Delhi
2401383186,324181,25,560013,Bengaluru
2885805373,60556,29,400053,Mumbai
2573378537,28331,32,560100,Bengaluru
2517335911,91762,28,560029,Bengaluru
3008759628,32301,39,110002,Lucknow
2570690729,34876,53,400705,Mumbai
3074694502,57732,36,452001,Indore City
2775167789,39014,32,520010,Vijayawada
3211002265,32600,27,560069,Bengaluru
2833008482,95980,32,560059,Bengaluru
2857727189,29592,27,400099,Bengaluru
2817909267,63775,57,412115,Pune Moffusil
2573303849,41699,32,500085,Hyderabad
2446394052,43644,22,834001,Ranchi
3214536972,28570,48,422005,Nasik
2968215701,32899,41,400071,Mumbai
2480129791,26365,26,522007,Guntur
2567464238,21853,31,382430,Ahmedabad
2522954855,60566,31,122018,Delhi
2636302066,77063,44,600029,Chennai
2803190473,58255,26,411014,Pune
3203294675,25771,26,474001,Gwalior
2778543299,36071,27,400606,Mumbai
2469217483,128158,44,603103,Chennai
2975451787,26111,36,560102,Bengaluru
2828643045,23775,27,560001,Bengaluru
2978617616,28659,31,516002,Vijayawada
2932356144,127982,36,500081,Hyderabad
3076612678,57224,46,302004,Jaipur
2913768559,42967,33,302012,Jaipur
2456394528,20542,28,411014,Pune
2456582821,24803,37,500016,Hyderabad
2362959845,23078,34,121001,Delhi
2462293557,39178,32,734007,Darjeeling
2526237254,59190,34,400703,Nanded
2870859481,37272,27,400064,Mumbai
3099065094,86568,33,560092,Bengaluru
2501236425,57448,36,380009,Ahmedabad
2543388877,24240,30,500016,Hyderabad
2813193384,71890,45,641012,Coimbatore
2795986418,26903,40,625002,Madurai
2674767636,28617,44,400063,Mumbai
2413856994,127866,37,560066,Bengaluru
2738622742,74794,40,122016,Delhi
2682007646,32289,27,110058,Delhi
2667923229,34063,49,400614,Mumbai
2854812401,25611,41,600032,Chennai
2567013168,39601,42,560041,Bengaluru
2578072206,24600,29,560042,Bengaluru
2907351263,38785,32,600024,Chennai
2978180312,25014,36,560099,Bengaluru
3133698332,23822,30,160036,Chandigarh
2508538354,22138,28,302021,Jaipur
2757666852,78237,32,500084,Hyderabad
2983179595,30889,40,600001,Chennai
2678141275,22555,36,160055,Chandigarh
3207165414,172056,39,500084,Hyderabad
3019884076,39963,35,560045,Bengaluru
2455124290,79290,41,700091,Kolkata
2585008202,22295,27,560102,Bengaluru
2445295896,49917,36,560048,Bengaluru
3093775309,78638,42,600035,Chennai
2643566416,84395,32,600119,Chennai
2763731016,43584,40,110018,Delhi
3085779232,83253,43,411014,Pune
2742804012,43613,30,700016,Kolkata
2528438391,23333,27,560066,Bengaluru
2719639661,40616,40,600016,Chennai
3121849036,24516,35,600096,Coimbatore
2833205041,43209,37,462026,Bhopal
3070085151,26447,34,700013,Kolkata
2799675913,67253,36,400705,Mumbai
3083821128,64960,27,560069,Bengaluru
2394682512,32906,25,560035,Bengaluru
2967341163,26913,25,411014,Pune
2670329000,36916,31,500032,Ernakulam
2478397188,76027,35,400104,Mumbai
2345379418,115975,39,302021,Jaipur
2998303738,152845,38,560066,Bengaluru
2613317193,42005,30,560064,Bengaluru
3149245471,36380,41,122052,Delhi
2675762987,53166,36,575001,Mangalore
2931456935,32318,40,500040,Hyderabad
2586587422,40872,38,110030,Delhi
3204003400,27037,31,560034,Bengaluru
3218623295,27647,42,560103,Bengaluru
3081706435,23977,25,411014,Pune
2369448792,49000,37,110006,Delhi
2383212802,46768,34,560019,Bengaluru
2697070876,32169,31,411016,Pune
2979390477,49505,27,560100,Bengaluru
2942025920,43695,39,201301,Delhi
2676545440,99340,40,600020,Chennai
3067179956,28571,29,560061,Bengaluru
2863506613,27893,30,573103,Mysore
2651280750,22942,28,575003,Mangalore
2831928540,77507,30,560037,Bengaluru
2952564944,50545,32,560078,Bengaluru
2972051052,87881,30,560066,Bengaluru
3129908082,30506,31,500018,Hyderabad
2655761093,104665,37,122002,Delhi
2986273213,26532,27,560034,Bengaluru
2675983937,36521,30,500012,Hyderabad
3162115766,39849,29,500039,Hyderabad
2628115253,82613,31,391775,Bengaluru
3138135462,49081,38,400707,Mumbai
3093941515,29194,35,500084,Hyderabad
2694259441,28095,29,122001,Delhi
2918230350,75043,29,400102,Mumbai
2635963918,35239,30,380008,Ahmedabad
2892796329,37459,30,303012,Jaipur
2457953212,33510,33,122015,Delhi
2654482002,63236,35,400011,Mumbai
3180807894,144078,28,560008,Bengaluru
2689969745,44833,28,500075,Hyderabad
2624675978,45928,36,600053,Chennai
2758788469,76380,40,400076,Mumbai
2416471619,55185,35,302015,Jaipur
2904079691,21358,28,500009,Hyderabad
2704584054,43983,37,122016,Delhi
3076652371,44568,27,560068,Bengaluru
2759176340,35649,32,431136,Aurangabad(Maharashtra)
2917026354,27582,37,411045,Pune
2953821830,41446,28,302019,Jaipur
2593513373,52751,29,360001,Rajkot
2570575206,41343,25,400059,Mumbai
2497983782,43475,27,201306,Delhi
2391896899,51679,27,110018,Delhi
2824916366,73990,38,122002,Delhi
2985122769,40381,29,248001,Dehradun
3162360099,26227,31,380054,Ahmedabad
2439918148,95575,28,600096,Coimbatore
2514217636,25634,28,380054,Ahmedabad
3048934349,43947,36,600035,Chennai
2376325552,33024,29,500062,Hyderabad
2694167379,41543,24,122011,Warangal
3090195647,74300,53,134112,Chandigarh
3201614711,31705,31,500072,Hyderabad
3223309949,24735,25,110048,Delhi
2422871771,55512,33,500004,Hyderabad
3172545468,24826,28,500032,Hyderabad
2639221746,33834,27,400708,Mumbai
3156675291,26735,34,411057,Nagpur City
2443447849,41408,38,411003,Pune
2578548416,22616,32,122001,Delhi
2817166377,66962,31,600119,Chennai
2938170854,35838,35,521228,Hyderabad
3042938585,58946,33,492001,Raipur
2975807608,44724,29,560071,Bengaluru
2586054022,34315,36,360005,Rajkot
2554255612,68939,31,411007,Pune
3181946977,41196,25,474005,Gwalior
2794369833,38200,49,411046,Pune
2838249140,80641,37,110016,Delhi
3219661573,33383,28,700048,Kolkata
3162663346,29196,27,500075,Hyderabad
2658985447,38854,28,400701,Mumbai
2587882694,25227,31,411028,Pune
3204783683,,33,,Ahmednagar
3242102027,59425,29,110037,Delhi
2864071084,43101,31,641021,Coimbatore
3173013502,18983,27,302012,Jaipur
2390633067,24218,27,560025,Mysore
2880018756,89574,38,500036,Hyderabad
3223272811,104387,33,500039,Hyderabad
2986767004,80251,32,560071,Bengaluru
2619460134,59767,41,201301,Delhi
2492300766,46093,28,411028,Mumbai
3055569517,134933,36,122015,Delhi
2779497166,87737,35,411057,Pune
2460604045,95265,38,800001,Patna
2649672660,136926,48,600096,Chennai
2490119894,36548,31,560016,Bengaluru
2480903337,34313,28,600073,Chennai
2557995783,83307,49,600096,Chennai
3139818461,27943,27,122001,Delhi
2589514721,63015,36,110072,Delhi
2445687967,37605,34,400059,Mumbai
2742381677,50620,35,560029,Bengaluru
2388076870,34222,30,560093,Bengaluru
2370719282,22150,28,600014,Chennai
3421257323,23755,29,201301,Delhi
2763608704,46565,31,560027,Bengaluru
3176106452,35199,45,122002,Delhi
2960103114,133877,38,600113,Chennai
2534700176,58314,34,641014,Coimbatore
2491131595,27041,31,394230,Surat
2541513370,22991,28,201301,Delhi
2964421997,42658,37,500081,Hyderabad
2403303486,25206,31,500072,Hyderabad
2774155186,66035,26,500081,Hyderabad
2989995164,52343,35,411014,Hyderabad
2816753133,34352,28,110070,Delhi
2444934639,40077,28,122016,Delhi
2746956378,31588,32,201301,Delhi
2339375453,72538,48,560099,Bengaluru
2404508380,78953,43,400001,Mumbai
2710103931,37529,34,411035,Pune
3204035865,39282,33,201301,Delhi
2780224426,29374,29,600119,Chennai
3201474703,23760,29,411014,Pune
3283833338,91816,43,160059,Chandigarh
3043196590,66993,33,411014,Pune
2383526025,29233,28,400013,Mumbai
2988141244,24624,25,201301,Delhi
2761062609,26652,26,560045,Bengaluru
2867954443,116041,35,400072,Delhi
3118561421,46375,30,560103,Bengaluru
2371683268,84387,31,500032,Hyderabad
2834791708,60245,34,201301,Delhi
3483690118,63785,32,560001,Bengaluru
2930287373,37843,31,110066,Delhi
2560142754,70459,30,600020,Chennai
2455214990,47901,33,201307,Delhi
2409611372,68243,35,560066,Bengaluru
2996480273,39554,28,500081,Hyderabad
3057339452,94214,41,560029,Bengaluru
2912600424,66265,41,500084,Hyderabad
2553412704,32422,29,500032,Hyderabad
2674846951,43596,30,201301,Delhi
2788183270,202676,36,122015,Delhi
2683644428,32180,25,560103,Chennai
3126628754,26349,48,600007,Chennai
2366026851,40721,29,560089,Bengaluru
2675756163,123612,27,560100,Bengaluru
2842960691,23730,25,452001,Indore
2911615725,47212,33,411057,Pune
2990339383,37692,27,600119,Chennai
2797234767,49008,42,302004,Jaipur
2569888926,35483,25,560001,Bengaluru
2409208577,22304,26,201301,Delhi
2786125276,59020,35,700072,Kolkata
3218081175,69875,41,452001,Indore
3123731565,42369,33,411007,Pune
2946616218,37371,29,122103,Delhi
2555331032,67685,53,500082,Hyderabad
2429495778,23814,29,452012,Indore City
3236744987,74076,38,141003,Ludhiana City
2960519361,42676,22,500043,Hyderabad
2593851217,66766,26,560059,Bengaluru
2487341212,53116,43,226007,Lucknow
2534721396,43031,42,380016,Ahmedabad
2806581071,42976,37,500081,Hyderabad
2788374921,31328,37,400069,Mumbai
2639027954,44658,40,390007,Vadodara
2784044259,79626,43,734001,Darjeeling
3011923833,34235,34,305001,Ajmer
2367684584,45042,26,560103,Bengaluru
2613429410,37172,31,411006,Pune
3046489694,34512,32,411005,Pune
2921131253,23871,27,301019,Alwar
3235389833,27251,26,560068,Bengaluru
2395056497,24691,23,110015,Delhi
2752423539,22087,32,380012,Ahmedabad
2825544044,200345,57,600113,Chennai
2486917326,40847,27,413104,Rajahmundry
3180067238,0,34,,Mumbai
3131331034,27395,28,700156,Kolkata
3505184055,33032,28,560100,Bengaluru
2459897971,29407,31,560029,Bengaluru
2776737833,34780,31,560001,Bengaluru
2912754814,35027,44,380006,Ahmedabad
2476327969,34106,39,560062,Bengaluru
2383606220,21680,30,122001,Delhi
2970579460,59058,31,500009,Hyderabad
2399799341,25152,27,122002,Delhi
3168939098,34091,30,560078,Bengaluru
2650822632,71436,39,122001,Delhi
2915227913,27279,34,751009,Bhubaneswar
2886374393,58622,37,500026,Hyderabad
3011342031,53474,42,122010,Delhi
3051739619,29300,28,110018,Delhi
2736351505,53513,28,560010,Bengaluru
2346838661,58925,35,411014,Pune
3007567375,38005,46,400022,Mumbai
2492772155,34147,29,110059,Delhi
2983575259,65473,32,500081,Hyderabad
2365975845,68702,31,110030,Delhi
2360904207,45795,33,400093,Mumbai
3228255438,177145,43,500088,Hyderabad
3382108928,57732,26,411032,Pune
3480832838,57855,39,411012,Pune
2520172066,65086,32,302029,Jaipur
2558776205,27401,27,201301,Delhi
3154335862,107603,39,560103,Bengaluru
2700048510,58973,29,560035,Bengaluru
2769810661,42618,35,560048,Bengaluru
2654590225,70878,36,201301,Delhi
2409496224,39106,23,560016,Bengaluru
2781644301,73289,40,110001,Delhi
2890144334,27845,25,122016,Delhi
2446528856,24081,28,110011,Delhi
2843533944,29126,34,560029,Bengaluru
2747202566,57471,38,560079,Bengaluru
3020828653,36451,28,560037,Bengaluru
2825517078,46328,42,411006,Pune
3015566783,23255,33,560097,Bengaluru
2498509829,44675,35,400052,Mumbai
2981982125,43978,32,122004,Delhi
2663163304,32954,26,122051,Delhi
2922571525,31744,27,201306,Delhi
2978196848,56666,31,110033,Delhi
